manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Tascam,DA-30MKII,DA30 Mk2|DA-30 Mk II,DAT recorder,Professional ADC/DAC; balanced I/O; op-amps,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,84,100,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Tascam,DA-40,DA40 DAT,DAT recorder,Professional ADC/DAC; balanced analogue stages; digital I/O,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,86,115,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Tascam,DA-45HR,DA45HR,DAT recorder,24-bit professional ADC/DAC; balanced drivers; clock circuitry,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,90,140,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Pioneer,DV-717,DV717|DVL? not laserdisc,DVD player with notable audio DACs,audio DAC stage; transformer; DVD transport,standalone DAC|transformer or mechanical salvage,probable,58,45,no disc; tray fault; missing remote,burnt board; water damage; no sound,medium,DVD players low value unless audio board verified,Popular older DVD player; exact DAC requires photo,Buy only cheap.
Pioneer,DV-737,DV737,DVD player with notable audio DACs,audio DAC stage; transformer; transport,standalone DAC|transformer or mechanical salvage,probable,62,55,no disc; tray fault; missing remote,burnt board; no sound; water damage,medium,Check audio board,Known higher-line DVD player; verify DAC chip,Good cheap donor.
Sony,DVP-S7700,DVPS7700|S7700 DVD,DVD player with notable audio DACs,audio DAC stage; heavy transformer/chassis; transport,standalone DAC|transformer or mechanical salvage,probable,72,80,no disc; tray fault; missing remote,no sound; burnt board; water damage,hard,Large heavy DVD player; good PSU/chassis donor,Known premium Sony DVD platform; verify audio board,Often bought for intact use too.
Marantz,DV7600,DV-7600,DVD/SACD player,Cirrus/Crystal multichannel DAC stage; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,76,60,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Marantz,DV9600,DV-9600,DVD/SACD player,premium multichannel DACs; HDAM analogue stage; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,86,100,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Pioneer,DV-757Ai,DV757Ai|757Ai,DVD/SACD player,multichannel DAC stage; FireWire/audio DSP; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,72,85,no disc; SACD/DVD-A read fault; missing remote,no sound; burnt board; water damage,hard,Complex boards; verify complete internals,Universal player class; exact DAC should be verified,May be worth intact to collectors.
Pioneer,DV-868AVi,DV868AVi|868AVi,DVD/SACD player,multichannel DAC stage; i.Link/audio DSP; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,78,120,disc read fault; tray fault; missing remote,burnt board; no sound; water damage,hard,Heavy and complex,Higher-line Pioneer universal player; verify DAC board,Often worth more intact.
Arcam,Alpha 5 Plus,Alpha 5+|Alpha Five Plus,integrated amplifier,transformer; discrete power amp parts; phono stage op-amps probable,transformer or mechanical salvage|power amplifier IC|op-amp,probable,66,70,scratchy controls; input fault; cosmetic damage,burnt transformer; water damage; no sound both channels,medium,Phono/line op-amps possible; verify board,Arcam integrated amp class; exact op-amps verify,Good UK donor.
Arcam,Alpha 8 Integrated,Alpha 8 amp|Alpha Eight amp,integrated amplifier,transformer; discrete output stage; phono/line op-amps probable,transformer or mechanical salvage|power amplifier IC|op-amp,probable,72,90,scratchy controls; display/input fault; missing remote,burnt output; water damage; transformer fault,medium,Worth repair if clean,Common Arcam amp; exact small-signal parts verify,Often worth intact.
Audiolab,8000A,8000 A,integrated amplifier,transformer; discrete power amp parts; phono op-amps probable; Alps pot,transformer or mechanical salvage|power amplifier IC|op-amp,probable,78,120,scratchy controls; selector fault; cosmetic damage,burnt transformer; water damage; missing boards,medium,High intact value; repair first,Classic UK integrated; exact op-amps verify,Usually worth more intact.
Cambridge Audio,A1,Cambridge A1 Mk3|A1 Mk3,integrated amplifier,transformer; power amp IC or discrete output depending revision; pots,transformer or mechanical salvage|power amplifier IC,uncertain,45,30,scratchy controls; broken terminals; cosmetic damage,burnt transformer; water damage; missing PCB,easy,Low-value learner donor,Revision-dependent internals; verify photos,Very common cheap amp.
Cambridge Audio,A500,A500 RC,integrated amplifier,toroidal transformer; discrete power amp parts; relays,transformer or mechanical salvage|power amplifier IC,confirmed,62,55,scratchy controls; relay fault; missing remote,burnt outputs; transformer fault; water damage,medium,Heavy transformer,Common Cambridge integrated architecture,Good cheap local pickup.
Cambridge Audio,Azur 540A,540A|Azur540A,integrated amplifier,toroidal transformer; discrete output parts; relays,transformer or mechanical salvage|power amplifier IC,confirmed,64,60,relay fault; input selector fault; missing remote,burnt outputs; no sound both channels; water damage,medium,Discharge caps; through-hole outputs,Common integrated amp layout,Often repairable.
Cambridge Audio,Azur 640A,640A|Azur640A,integrated amplifier,toroidal transformer; discrete output parts; relays,transformer or mechanical salvage|power amplifier IC,confirmed,68,70,relay fault; scratchy controls; display fault,burnt output stage; transformer fault; water damage,medium,Heavy; good PSU donor,Common Cambridge amp; verify board condition,Worth repair if complete.
Denon,PMA-250SE,PMA250SE|PMA 250 SE,integrated amplifier,transformer; output devices; phono/line parts,transformer or mechanical salvage|power amplifier IC|op-amp,probable,55,45,scratchy controls; missing knobs; cosmetic damage,burnt transformer; water damage; no sound,medium,Through-hole friendly,Common Denon integrated; exact parts verify,Cheap donor.
Denon,PMA-350SE,PMA350SE,integrated amplifier,transformer; output devices; phono/line parts,transformer or mechanical salvage|power amplifier IC|op-amp,probable,58,50,scratchy controls; selector fault,burnt output; transformer fault; water damage,medium,Heavy enough that postage matters,Common amp; verify photos,Local cheap target.
Marantz,PM-66SE,PM66SE|PM-66 KI,integrated amplifier,transformer; discrete output parts; phono/line op-amps probable,transformer or mechanical salvage|power amplifier IC|op-amp,probable,68,75,scratchy controls; selector fault; missing remote,burnt outputs; water damage; transformer fault,medium,KI variants worth intact,Common Marantz integrated; exact small ICs verify,Good donor if rough.
Marantz,PM6002,PM-6002,integrated amplifier,toroidal transformer; discrete output parts; phono stage parts,transformer or mechanical salvage|power amplifier IC|op-amp,probable,70,85,input selector fault; missing remote; cosmetic damage,burnt output; water damage; transformer fault,medium,Worth repair first,Common UK amp; exact op-amps verify,Often not cheap enough for salvage.
NAD,3020e,3020 e,integrated amplifier,power transformer; discrete power amp parts; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,68,75,scratchy controls; input switch fault; missing knobs,burnt transformer; water damage; no sound both channels,medium,Good through-hole salvage,Common NAD amp architecture; verify transformer health,Repair candidate first.
NAD,3020i,3020 i|NAD 3020,integrated amplifier,power transformer; discrete power amp transistors; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,70,80,scratchy controls; broken speaker terminals; cosmetic damage,burnt transformer; water damage; missing amp board,medium,Through-hole parts; discharge capacitors,Amplifier topology visible/service docs common; no DAC claim,Usually worth more intact if complete.
NAD,C320BEE,C320 BEE|C 320BEE,integrated amplifier,toroidal transformer; discrete power amp parts; pots/relays,transformer or mechanical salvage|power amplifier IC,confirmed,72,90,scratchy controls; relay fault; cosmetic damage,burnt output stage; transformer hum severe; water damage,medium,Heavy transformer; through-hole power parts,Integrated amp class with visible transformer/discrete outputs,Often worth intact.
NAD,C350,C 350,integrated amplifier,toroidal transformer; discrete output devices; relays,transformer or mechanical salvage|power amplifier IC,confirmed,72,90,relay fault; scratchy controls; missing remote,burnt outputs; water damage; transformer fault,medium,Discharge caps; heavy transformer,Common NAD integrated architecture,Good local donor if output fault isolated.
Pioneer,A-400,A400|Pioneer A400,integrated amplifier,transformer; discrete power amp parts; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,72,90,scratchy controls; broken terminals; cosmetic damage,burnt transformer; water damage; missing boards,medium,Usually repair before salvage,Classic amp with known discrete architecture,Often worth more intact.
Rotel,RA-01,RA01|RA 01,integrated amplifier,toroidal transformer; discrete output parts; volume pot,transformer or mechanical salvage|power amplifier IC,confirmed,70,80,selector fault; scratchy volume; missing remote,burnt outputs; transformer fault; water damage,medium,Through-hole power parts,Visible architecture in common photos/service data,May be worth intact.
Rotel,RA-930AX,RA930AX|RA 930 AX,integrated amplifier,transformer; discrete power amp parts; ALPS-style pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,66,65,scratchy controls; selector fault; cosmetic damage,burnt transformer; water damage; missing boards,medium,Through-hole friendly,Common Rotel integrated layout; verify internals,Often cheap but repairable.
Rotel,RA-931,RA931|RA 931,integrated amplifier,transformer; discrete output parts; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,64,60,scratchy controls; broken terminals,burnt output board; water damage; no sound both channels,medium,Good mechanical parts,Rotel amp class; no DAC claim,Cheap donor.
Technics,SU-V500,SUV500,integrated amplifier,power amplifier IC/module or discrete hybrid stage; transformer; pots,power amplifier IC|transformer or mechanical salvage,probable,48,35,scratchy controls; broken terminals,burnt amp IC/module; water damage; transformer fault,medium,Hybrid/output IC may be obsolete but only if not failed,Technics integrated class; exact output part verify,Cheap only.
Yamaha,AX-396,AX396,integrated amplifier,transformer; discrete output devices; relays/pots,transformer or mechanical salvage|power amplifier IC,confirmed,58,50,scratchy controls; relay fault; missing remote,burnt output; water damage; transformer fault,medium,Through-hole power parts,Common Yamaha integrated architecture,Cheap donor only.
Yamaha,AX-596,AX596,integrated amplifier,large transformer; discrete output stage; relays/pots,transformer or mechanical salvage|power amplifier IC,confirmed,66,70,relay fault; input selector; missing remote,burnt output; transformer hum; water damage,medium,Good transformer donor; heavy,Common Yamaha integrated; verify board,Worth repair if clean.
Denon,DMD-1000,DMD1000,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; transformer; mechanism,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,58,50,loading fault; no disc; missing remote,no sound; burnt board; water damage,medium,Verify mechanism completeness,MD deck class; exact chips uncertain,Cheap donor.
Denon,DMD-1300,DMD1300,MiniDisc deck,Higher-grade Denon MD ADC/DAC; analogue stage; transformer,ADC|standalone DAC|op-amp|DSP,probable,72,65,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Denon,DMD-1600AL,DMD1600AL,MiniDisc deck,Alpha-processing era MD deck; ADC/DAC; op-amps; transformer,ADC|standalone DAC|op-amp|DSP,probable,80,90,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Denon,DMD-2000AL,DMD2000AL,MiniDisc deck,High-grade ADC/DAC; substantial analogue stage; transformer,ADC|standalone DAC|op-amp|DSP,probable,87,125,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,hard,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Pioneer,MJ-D508,MJD508|MJ D508,MiniDisc deck,Pioneer MD ADC/DAC; op-amps; ATRAC DSP,ADC|standalone DAC|op-amp|DSP,probable,62,40,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Pioneer,MJ-D707,MJD707|MJ D707,MiniDisc deck,Pioneer MD ADC/DAC; ATRAC DSP; op-amps,ADC|standalone DAC|op-amp|DSP,probable,68,55,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sharp,MD-R2,MDR2|MD R2,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; MD mechanism; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,uncertain,52,40,loading fault; no disc,burnt board; water damage; missing mechanism,medium,Exact parts uncertain; verify internals,Model-specific components not assumed,Buy only cheap.
Sharp,MD-R3,MDR3|Sharp MD R3,MiniDisc deck,Integrated MD/CD system; ADC/DAC; ATRAC DSP; amplifier ICs,ADC|standalone DAC|op-amp|DSP,probable,56,35,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-E10,MDS E10 pro,MiniDisc deck,Professional MD recorder; balanced I/O op-amps; ADC/DAC; ATRAC DSP,ADC|standalone DAC|op-amp|DSP,probable,76,80,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-E12,MDS E12 pro,MiniDisc deck,Professional MD recorder; balanced line drivers; ADC/DAC; ATRAC DSP,ADC|standalone DAC|op-amp|DSP,probable,78,90,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JA20ES,MDSJA20ES|JA20ES,MiniDisc deck,ATRAC DSP; ADC/DAC; op-amps; transformer; MD mechanism,combined codec|ADC|standalone DAC|DSP|op-amp|transformer or mechanical salvage,probable,84,160,loading fault; no disc; display issue,burnt board; water damage; no sound,hard,Heavy ES deck; high intact value,Sony ES MD deck; exact ICs need service manual/photo,"Usually repair, not salvage."
Sony,MDS-JA30ES,MDSJA30ES|JA30ES,MiniDisc deck,ATRAC DSP; ADC/DAC; op-amps; transformer; MD mechanism,combined codec|ADC|standalone DAC|DSP|op-amp|transformer or mechanical salvage,probable,88,200,mechanism fault; display issue; missing remote,burnt board; water damage; missing mechanism,hard,Very high intact value,Sony ES deck; exact components verify,Do not buy as donor unless severely faulty cheap.
Sony,MDS-JA50ES,JA50ES,MiniDisc deck,High-end ES ADC/DAC; premium op-amps; transformer; mechanism,ADC|standalone DAC|op-amp|DSP,probable,94,180,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,hard,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JA555ES,JA555ES|555ES MiniDisc,MiniDisc deck,High-end ES ADC/DAC; premium analogue stage; ATRAC Type-R; transformer,ADC|standalone DAC|op-amp|DSP,probable,95,200,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,hard,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JB920,JB920,MiniDisc deck,Higher-grade ADC/DAC; Type-R ATRAC; substantial analogue stage,ADC|standalone DAC|op-amp|DSP,probable,78,75,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JB930,MDSJB930|JB930,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; better analogue stage; transformer,combined codec|ADC|standalone DAC|DSP|op-amp,probable,76,100,loading fault; display issue; missing remote,no sound; burnt board; water damage,medium,Higher-value deck; avoid stripping working units,Sony QS/ES-ish MD deck; exact ICs verify,Usually worth more intact.
Sony,MDS-JB940,JB940,MiniDisc deck,Higher-grade ADC/DAC; Type-R ATRAC; op-amps; transformer,ADC|standalone DAC|op-amp|DSP,probable,81,85,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JE330,MDSJE330|JE330,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; optical pickup; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,50,35,no disc; loading fault; missing remote,no sound; burnt board; water damage; missing mechanism,medium,MD mechanisms delicate; transformer small,Common Sony MD deck; exact audio ICs vary,Cheap donor only.
Sony,MDS-JE500,JE500,MiniDisc deck,entry-level Sony ATRAC deck; stereo ADC/DAC; op-amps,ADC|standalone DAC|op-amp|DSP,probable,58,30,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JE510,JE510,MiniDisc deck,Sony ATRAC DSP; stereo ADC/DAC; op-amps,ADC|standalone DAC|op-amp|DSP,probable,60,35,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JE520,MDSJE520|JE520,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; optical pickup; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,56,45,loading fault; no disc; display dim,no sound; water damage; missing mechanism,medium,Mechanism and display parts useful,Common Sony MD deck; verify board,Often worth repair if clean.
Sony,MDS-JE530,MDSJE530|JE530,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; optical pickup; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,58,50,no disc; loading fault; missing remote,no sound; burnt board; water damage,medium,MD laser/mech salvage possible,Common UK deck; exact chips verify,Good cheap MD donor.
Sony,MDS-JE630,JE630,MiniDisc deck,Sony ATRAC Type-R DSP; stereo ADC/DAC; op-amps,ADC|standalone DAC|op-amp|DSP,probable,66,45,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JE640,JE640,MiniDisc deck,Sony ATRAC Type-R DSP; stereo ADC/DAC; op-amps,ADC|standalone DAC|op-amp|DSP,probable,67,45,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JE700,JE700,MiniDisc deck,Higher-grade Sony ADC/DAC and analogue output stage; ATRAC DSP,ADC|standalone DAC|op-amp|DSP,probable,70,55,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-JE780,JE780,MiniDisc deck,ATRAC Type-S DSP; ADC/DAC; op-amps; digital I/O parts,ADC|standalone DAC|op-amp|DSP,probable,69,55,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Sony,MDS-S500,S500 NetMD deck,MiniDisc deck,USB/NetMD interface; ADC/DAC; ATRAC DSP; op-amps,ADC|standalone DAC|op-amp|DSP,probable,64,55,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Tascam,MD-301MKII,MD301 MK2|MD-301 Mk II,MiniDisc deck,Professional MD deck; ADC/DAC; balanced analogue stage,ADC|standalone DAC|op-amp|DSP,probable,72,65,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Tascam,MD-350,MD350,MiniDisc deck,Professional MD deck; ADC/DAC; balanced line drivers; op-amps,ADC|standalone DAC|op-amp|DSP,probable,77,80,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
Tascam,MD-801R,MD801R|MD-801R MkII,MiniDisc deck,Broadcast MD recorder; ADC/DAC; balanced I/O; control electronics,ADC|standalone DAC|op-amp|DSP,probable,83,110,won't read or write discs; loading fault; display fault; missing remote,no analogue audio; liquid damage; corrosion; missing main board,medium,Mechanism faults are ideal; verify converter markings from service manual before chip-level salvage.,Manufacturer manual/service documentation; verify board revision before purchase,"MiniDisc decks are often more useful for ADCs, balanced stages and digital I/O than for a famous DAC chip."
ASUS,Xonar D2,D2 PCI|XonarD2|ASUS D2,PCI sound card,Burr-Brown PCM1796 DACs; TI RC4580 op-amps; C-Media/ASUS AV processor,standalone DAC|op-amp|DSP,confirmed,84,85,driver issue; untested; cosmetic shield damage; missing driver disc,burnt board; missing EMI shield plus damaged PCB; corrosion,medium,Multiple SMD DACs; inspect shield screws and PCI connector,Techgage and APH Networks reviews identify PCM1796 and RC4580 parts,Multichannel DAC donor; often appears as old PC part.
ASUS,Xonar DS,DS PCI|XonarDS,PCI sound card,audio codec/DAC; swappable front op-amp on some boards,combined codec|op-amp,probable,55,30,driver issue; untested; missing bracket,burnt board; missing op-amp; corrosion,easy,Check if op-amp socket is populated,Common board photos show socketed op-amp on DS family; verify listing photos,Useful only very cheap.
ASUS,Xonar Essence ST,Essence ST|Xonar ST|Essance ST,PCI sound card,TI/Burr-Brown PCM1792A DAC; swappable op-amps; headphone amp parts,standalone DAC|op-amp,confirmed,96,140,driver issue; missing remote; noisy channel; untested,missing op-amps; burnt board; no sound both channels; liquid damage,medium,Socketed op-amps easy; DAC is SMD; check daughterboard header if present,ASUS Essence family documentation and common board photos identify PCM1792A class parts,Often worth more intact; buy only if cheap faulty.
Audiotrak,Prodigy 7.1 HiFi,Prodigy 7.1 HIFI|Prodigy HiFi,PCI sound card,Multichannel DACs; socketed op-amps on some revisions; Envy24 controller,standalone DAC|op-amp|DSP,probable,70,50,driver issue; untested; cosmetic damage,no sound; missing op-amps; liquid damage,medium,Check exact PCB revision.,Manufacturer manual/service documentation; verify board revision before purchase,Good for op-amps and multichannel DACs if cheap.
Audiotrak,Prodigy HD2,Prodigy HD2 Advance DE|HD2 Gold|Audiotrak HD2,PCI sound card,AKM AK4396-class DAC; socketed op-amps; Envy24HT controller,standalone DAC|op-amp|DSP,probable,82,70,driver issue; untested; missing bracket,no analogue output; missing op-amps; corrosion,medium,Verify revision because HD2 variants differ.,Manufacturer manual/service documentation; verify board revision before purchase,A strong compact stereo donor.
Auzentech,X-Fi Prelude 7.1,Prelude|XFi Prelude|X-Fi Prelude,PCI sound card,Creative X-Fi DSP; AKM-class converters probable; op-amps,standalone DAC|ADC|op-amp|DSP,probable,78,85,driver issue; untested; missing software,burnt board; missing op-amps; corrosion,medium,Good old enthusiast card; verify chip markings,Known X-Fi based board; exact audio ICs should be verified by photo,Can be collectible intact.
Auzentech,X-Meridian 7.1,X Meridian|XMeridian,PCI sound card,C-Media Oxygen HD; multiple DACs; swappable op-amps on some boards,standalone DAC|op-amp|DSP,probable,76,80,driver issue; untested; noisy channel,missing op-amps; burnt board; liquid damage,medium,Look for socketed op-amps,Known enthusiast Oxygen HD card; verify exact DACs,Rare in UK.
Chaintech,AV-710,AV710|Chaintech 710,PCI sound card,Wolfson WM8728 stereo DAC on rear high-quality channel; Envy24HT-S controller,standalone DAC|DSP,confirmed,62,25,driver issue; untested; missing bracket,no rear-channel output; corrosion,easy,Small inexpensive DAC; easy donor if nearly free.,Manufacturer manual/service documentation; verify board revision before purchase,Historically popular budget card; component value is modest.
Creative,SB0380,Sound Blaster Audigy 4 Pro|Audigy 4 Pro SB0380|Audigy4 Pro,PCI sound card,Cirrus Logic CS4398 DAC; ADC; socketed or through-hole analogue-stage op-amps depending board area,standalone DAC|ADC|op-amp,confirmed,82,70,driver issue; untested; missing breakout box; cosmetic damage,burnt board; missing main PCB; corrosion; physically snapped PCI edge,medium,Small SMD audio ICs; hot air recommended; inspect gold fingers,TrustedReviews Audigy 4 Pro review states SB0380 and Cirrus Logic CS4398 DACs; verify exact board revision,Often cheaper without breakout box; may be worth more intact if complete boxed kit.
