manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
ASUS,Xonar Essence STX II,STX II|Essence STX2|Xonar STX2,PCIe sound card,PCM1792-family DAC; swappable op-amps; headphone amp parts,standalone DAC|op-amp,probable,94,160,driver issue; missing op-amp kit; untested,missing op-amps; burnt board; water damage,medium,Socketed op-amps; verify exact chip markings,Review/spec sources describe PCM1792/Essence architecture; verify board photos,Often too valuable intact; salvage only if faulty and cheap.
Creative,SB1270,Sound Blaster X-Fi Titanium HD|X-Fi Titanium HD|XFi Titanium HD|X Fi Titanium HD,PCIe sound card,Texas Instruments/Burr-Brown PCM1794 DAC; Creative CA20K2 DSP; ADC; socketed op-amps on some revisions,standalone DAC|ADC|op-amp|DSP,confirmed,95,120,driver issue; untested; noisy output; missing box,burnt board; missing op-amps; missing main PCB; water damage,medium,Good donor but SMD DAC; avoid stripped cards,TweakTown and The Retro Web identify PCM1794 DAC; bit-tech identifies PCM1794A/CA20K2,Usually also desirable intact; do not overpay for a working card.
Audiolab,8000C,8000 C|Audiolab preamp,preamplifier,op-amps; volume pot; selector switches; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,70,90,scratchy controls; selector fault; missing knobs,burnt board; water damage; missing PCB,medium,Mostly through-hole/older SMD,Common preamp; exact ICs verify,Repair candidate.
Musical Fidelity,X-Pre,X Pre|X-PRE,preamplifier,op-amps; volume pot; PSU parts,op-amp|volume-control IC,probable,62,60,scratchy pot; missing PSU; input fault,burnt board; water damage; no output,medium,Small case; external PSU,Musical Fidelity preamp class; exact IC verify,Often collectible.
NAD,1000,NAD 1000 preamp,preamplifier,op-amps; phono stage parts; pots/switches; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,58,50,scratchy controls; missing knobs; phono fault,burnt board; water damage,medium,Older through-hole parts likely,Common NAD preamp; exact ICs verify,Buy cheaply.
Quad,34,Quad 34 preamp,preamplifier,op-amps; switchgear; volume/balance controls; PSU parts,op-amp|volume-control IC|transformer or mechanical salvage,probable,70,90,scratchy controls; DIN socket damage; missing case parts,burnt board; water damage; missing modules,medium,Through-hole friendly; DIN hardware useful,Classic Quad preamp; exact op-amps vary/verify,Usually worth repair.
Quad,44,Quad 44 preamp,preamplifier,op-amps; plug-in input modules; switchgear; PSU parts,op-amp|volume-control IC|transformer or mechanical salvage,probable,76,120,scratchy controls; missing knob; module fault,burnt PSU; water damage; missing modules,medium,Modules valuable; avoid stripping complete units,Classic Quad modular preamp; exact ICs verify,Often worth more intact.
Rotel,RC-970BX,RC970BX,preamplifier,op-amps; phono stage parts; selector switches; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,62,60,scratchy controls; phono fault; missing knobs,burnt board; water damage; missing PCB,medium,Good small-signal donor,Rotel preamp class; exact ICs verify,Cheap donor.
Alesis,MicroVerb 4,Microverb IV|Micro Verb 4,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,42,30,missing PSU; display/LED fault; noisy output,burnt board; water damage; no audio,easy,Low-value compact SMD donor,Common effects box; exact ICs verify,Cheap only.
Aphex,Compellor 320A,320A Compellor,professional rack audio equipment,VCA/dynamics ICs probable; op-amps; balanced line drivers; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,70,100,meter fault; noisy pot; missing knobs,burnt PSU; water damage; no audio,medium,Specialist dynamics ICs; verify markings,Pro dynamics unit; exact ICs require internal photo,May be worth intact.
Behringer,DCX2496,Ultradrive Pro DCX2496|DCX 2496,professional rack audio equipment,multiple DAC outputs; ADC input; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,72,85,display fault; output channel fault; missing rack ears,burnt PSU; water damage; no boot,medium,Many analogue outputs; SMD removal,Common digital crossover; exact chips vary,Useful op-amp/output donor.
Behringer,DEQ2496,Ultracurve Pro DEQ2496|DEQ 2496,professional rack audio equipment,ADC/DAC; DSP; display/encoder; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,70,80,display fault; encoder fault; noisy fan/PSU,burnt PSU; no audio; water damage,medium,DSP/display parts; mains caution,Common rack EQ; exact converter chips verify,Often cheap faulty.
Behringer,SRC2496,Ultramatch Pro SRC2496|SRC 2496,professional rack audio equipment,AKM/Cirrus converter ICs probable; sample-rate converter; op-amps; transformer/PSU,ADC|standalone DAC|DSP|op-amp,probable,68,70,display fault; noisy output; missing rack ears,burnt PSU; water damage; no audio both directions,medium,Rack unit; mains safety; many SMD parts,Common pro converter; exact ICs vary by revision,Cheap useful lab donor.
dbx,DriveRack PA,DriveRackPA|Driverack PA,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,62,70,display fault; encoder fault; missing rack ears,burnt PSU; water damage; no audio,medium,Rack unit; SMD converters,Common PA processor; exact chips vary,Good donor if display faulty.
Drawmer,DL241,DL 241,professional rack audio equipment,VCA/dynamics ICs probable; op-amps; transformer/PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,68,90,meter fault; noisy controls; missing knobs,burnt PSU; water damage; no audio,medium,Analogue rack; through-hole likely in older units,Common Drawmer compressor; exact ICs verify,Repair candidate.
Lexicon,MPX 100,MPX100,professional rack audio equipment,ADC/DAC; Lexicon DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,58,50,display fault; encoder fault; missing PSU,burnt board; water damage; no audio,medium,External PSU on some units; SMD DSP,Common rack FX; exact converters verify,Cheap DSP donor.
Lexicon,MPX 500,MPX500,professional rack audio equipment,ADC/DAC; Lexicon DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,68,80,display fault; encoder fault; noisy output,burnt PSU; water damage; no audio,medium,Rack unit; many SMD parts,Common Lexicon rack; exact ICs verify,May be useful intact.
Rane,DEQ 60L,DEQ60L|Rane DEQ60,professional rack audio equipment,op-amps; balanced line drivers; PSU; sliders,op-amp|transformer or mechanical salvage,probable,58,60,scratchy sliders; display/LED fault; missing rack ears,burnt PSU; water damage; no audio,medium,Lots of analogue op-amps and sliders,Analogue EQ architecture; exact ICs verify,Mechanical parts useful.
TC Electronic,D-Two,D Two|D-Two Delay,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,68,85,encoder fault; display issue; noisy output,burnt PSU; water damage; no audio,medium,Rack unit; verify display/control board,Common TC processor; exact ICs verify,Often worth intact.
TC Electronic,M-One,M One|M-One XL,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,66,75,encoder fault; display fault; missing knobs,burnt PSU; water damage; no audio,medium,Rack SMD; mains caution,Common TC rack processor; exact converters verify,Good cheap rack donor.
Yamaha,SPX90,SPX-90,professional rack audio equipment,early Yamaha DSP; ADC/DAC; op-amps; transformer,ADC|standalone DAC|DSP|op-amp|transformer or mechanical salvage,probable,66,90,display fault; battery leak if contained; noisy controls,battery corrosion; burnt PSU; water damage,hard,Check battery leakage before buying,Classic rack processor; exact ICs verify,Battery damage is a major risk.
Yamaha,SPX990,SPX-990,professional rack audio equipment,DSP; ADC/DAC; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,62,75,display fault; encoder fault; missing rack ears,burnt PSU; water damage; no audio,medium,Rack SMD; verify display,Common Yamaha processor; exact chips verify,Good cheap donor.
Denon,DCD-1500AE,DCD1500AE|1500AE,SACD player,Burr-Brown PCM1791 DAC; analogue output stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,76,100,disc-reading fault; tray fault; cosmetic damage,no audio; SACD/digital board fault; liquid damage,hard,Software-controlled DAC; complex SACD platform.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually better repaired unless very cheap.
Sony,SCD-XB770,SCDXB770|XB770 SACD,SACD player,SACD/CD DAC stage; transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,78,100,no disc; SACD read fault; missing remote,no sound; burnt board; water damage; missing laser,hard,SACD mechanisms can be fragile; verify complete transport,Sony SACD player class; exact DAC should be verified,May be worth more intact if working.
Sony,SCD-XE670,SCDXE670|XE670 SACD,SACD player,SACD DAC stage; transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,70,70,SACD read fault; tray fault; missing remote,no sound; burnt board; liquid damage,medium,Check SACD optical pickup availability,Common SACD donor; exact DAC not assumed,Cheap faulty units appear.
Sony,DVP-S9000ES,DVPS9000ES|S9000ES,SACD/DVD player,SACD/DVD DAC stage; substantial PSU; transport,standalone DAC|DSP|transformer or mechanical salvage,probable,86,180,no disc; tray fault; missing remote,burnt board; water damage; missing transport,hard,Very heavy; high intact value,Sony ES SACD/DVD class; exact chips need service manual/photo,Usually worth repair intact.
Arcam,rDAC,r DAC|Arcam rDAC,standalone DAC,Wolfson DAC stage probable; USB receiver; op-amps,standalone DAC|op-amp,probable,72,75,missing PSU; USB fault; input selector fault,no sound; burnt board; water damage,medium,SMD compact board,Arcam rDAC commonly described with Wolfson DAC; verify board,Common UK DAC.
ASUS,Xonar Essence STU,Essence STU|Xonar STU,standalone DAC,swappable op-amps; USB receiver; headphone amplifier; DAC stage,standalone DAC|op-amp,confirmed,88,120,USB issue; missing PSU; noisy pot; broken socket,burnt board; missing DAC board; water damage,medium,Op-amps socketed per ASUS swap guide; mains/PSU caution,ASUS official op-amp swap guide confirms swappable op-amps,Usually compact and easy to ship.
Audiolab,M-DAC,MDAC|M DAC,standalone DAC,ESS Sabre DAC reported; op-amps; display/control parts,standalone DAC|op-amp,probable,86,160,display fault; encoder fault; missing PSU/remote,no output; burnt board; water damage,medium,Often worth repair intact; SMD DAC,Audiolab M-DAC widely specified as ESS Sabre; verify revision,Usually worth more intact.
Benchmark,DAC1,DAC 1|Benchmark DAC-1,standalone DAC,AD1853 DAC reported; op-amps; balanced output stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,90,220,display/selector fault; noisy pot; missing rack ears,burnt board; water damage; no output,hard,High intact value; mains transformer,Benchmark DAC1 specs commonly cite AD1853; verify revision,Usually worth more intact.
Cambridge Audio,DacMagic,DacMagic 100? no|DacMagic Azur,standalone DAC,Wolfson DAC stage probable; op-amps; PSU parts,standalone DAC|op-amp,probable,72,70,missing PSU; USB fault; noisy output,no sound; burnt board; water damage,medium,External PSU models easier; SMD DAC,Common UK DAC; exact version matters,Usually worth more intact if working.
Cambridge Audio,DacMagic Plus,DacMagic+|DacMagic Plus,standalone DAC,Wolfson DAC stage probable; USB receiver; op-amps; headphone amp,standalone DAC|op-amp,probable,78,100,USB socket fault; missing PSU; noisy headphone out,burnt board; water damage; no sound,medium,SMD; verify board revision,Commonly documented Wolfson-based DACMagic family; verify exact chips,Often worth intact.
Music Hall,DAC25.2,DAC 25.2|Music Hall DAC25 2,standalone DAC,Burr-Brown PCM1796 DAC; SRC4192 sample-rate converter; analogue output stage,standalone DAC|sample-rate converter|op-amp,confirmed,86,110,USB/input fault; cosmetic damage; intermittent controls,no analogue output; water damage; parts removed,hard,PCM1796 is current-output and software controlled; retain the I/V stage design.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Good reference implementation as well as a parts donor.
Musical Fidelity,V-DAC,VDAC|V DAC,standalone DAC,DAC IC; op-amps; regulator parts,standalone DAC|op-amp,probable,65,55,missing PSU; coax/USB fault; cosmetic damage,burnt board; water damage; no output,medium,Small SMD board; external PSU,Model-specific DAC should be verified by board photo,Cheap compact DAC donor.
Musical Fidelity,V-DAC II,VDAC II|V DAC 2,standalone DAC,DAC IC; op-amps; regulator parts,standalone DAC|op-amp,probable,68,65,missing PSU; USB issue; noisy output,burnt board; water damage; no sound,medium,SMD; check PSU polarity history,Exact chip verify by photo,Often worth intact.
Musical Fidelity,X-DAC V3,X DAC V3|XDAC V3,standalone DAC,DAC stage; op-amps; PSU parts,standalone DAC|op-amp,probable,76,100,missing PSU; input fault; cosmetic damage,burnt board; water damage; no output,medium,Cylindrical case; careful disassembly,Musical Fidelity DAC class; exact IC verify,Can be collectible intact.
Musical Fidelity,X-DAC V8,XDAC V8|X DAC V8,standalone DAC,Burr-Brown DSD1792 DAC; SRC4392; PCM2706 USB interface; analogue stage,standalone DAC|sample-rate converter|USB audio interface|op-amp,confirmed,84,120,USB input fault; display/indicator fault; cosmetic damage,no analogue output; liquid damage; missing PCB,hard,Useful as a complete digital-audio subsystem donor.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often worth repairing.
Edirol,FA-66,FA66|Roland FA-66,studio audio interface,ADC/DAC; mic preamps; op-amps; FireWire controller,ADC|standalone DAC|op-amp,probable,60,50,FireWire issue; missing PSU; noisy pot,burnt FireWire chip; water damage; no sound,medium,Check PSU and FireWire section,Common legacy interface; exact IC verify,Good cheap donor.
Edirol,UA-25,UA25|Roland UA-25,studio audio interface,ADC/DAC; mic preamp op-amps; USB controller,ADC|standalone DAC|op-amp,probable,55,40,driver issue; noisy pots; USB socket fault,burnt board; water damage; no USB,easy,Metal case; small SMD board,Common interface; exact chips verify,Often reliable intact.
Focusrite,Saffire Pro 24,Saffire Pro24|Pro 24 DSP,studio audio interface,ADC/DAC; mic preamp op-amps; FireWire controller,ADC|standalone DAC|op-amp|DSP,probable,65,55,FireWire compatibility issue; missing PSU; noisy pot,burnt FireWire port; no sound; water damage,medium,Surface-mount; check PSU damage,Common interface; exact converters verify by board,Often cheap due FireWire.
Focusrite,Saffire Pro 40,Saffire Pro40|Pro 40,studio audio interface,multiple ADC/DAC; mic preamps; op-amps; clocking,ADC|standalone DAC|op-amp,probable,72,80,FireWire issue; missing PSU; noisy preamp,burnt PSU; water damage; no audio,medium,Rack-ish unit; many analogue channels,Common studio interface; exact converter chips verify,May be worth intact for legacy users.
Focusrite,Scarlett 18i20 1st Gen,Scarlett 18i20 mk1|18i20,studio audio interface,multiple ADC/DAC; mic preamps; op-amps; PSU,ADC|standalone DAC|op-amp,probable,68,80,USB issue; noisy preamp; missing rack ears,burnt PSU; no boot; water damage,medium,Many channels; mains PSU caution,Common studio interface; verify converter chips,Often worth repair if complete.
Focusrite,Scarlett 2i2 1st Gen,Scarlett 2i2|2i2 mk1,studio audio interface,combined USB audio codec/converters; mic preamp op-amps; pots,combined codec|ADC|standalone DAC|op-amp,probable,45,25,USB socket fault; noisy pot; missing knobs,burnt board; water damage; no USB enumeration,easy,Mostly low-value parts; USB jack/pots useful,Common interface; exact IC revision varies,Only buy very cheaply.
M-Audio,Fast Track Pro,FastTrack Pro|Fast Track USB,studio audio interface,USB audio codec; mic preamp op-amps; pots,combined codec|ADC|standalone DAC|op-amp,probable,42,25,USB socket fault; noisy pot; missing knobs,burnt board; water damage; no USB,easy,Low-value but easy jacks/pots,Common USB interface; exact IC varies,Cheap only.
M-Audio,FireWire 410,FW410|Firewire410,studio audio interface,ADC/DAC; mic preamps; op-amps; FireWire controller,ADC|standalone DAC|op-amp,probable,55,40,FireWire compatibility; missing PSU; noisy pot,burnt FireWire chip; water damage; no sound,medium,Check FireWire damage before considering repair,Common legacy interface; exact chips verify,Cheap due obsolete FireWire.
MOTU,828 MkII,828mk2|MOTU 828 mk2|828 Mark II,studio audio interface,multiple ADC/DAC; op-amps; clocking; PSU,ADC|standalone DAC|op-amp,probable,75,100,FireWire issue; display fault; missing PSU cable,burnt PSU; no boot; water damage,hard,Rack unit; many SMD parts; mains safety,Common pro interface; exact converters should be verified,May be worth more intact.
MOTU,Ultralite Mk3,UltraLite mk3|Ultralite Hybrid,studio audio interface,ADC/DAC; DSP mixer; op-amps; headphone amp,ADC|standalone DAC|DSP|op-amp,probable,70,90,FireWire/USB issue; encoder fault; missing PSU,burnt board; water damage; no audio,medium,Compact but dense SMD,Common interface; verify chip markings,Often still useful intact.
Presonus,FireStudio Project,FireStudio|Firestudio Project,studio audio interface,multiple ADC/DAC; mic preamps; op-amps; FireWire controller,ADC|standalone DAC|op-amp,probable,60,55,FireWire issue; noisy preamp; missing PSU,burnt PSU; water damage; no boot,medium,Many analogue stages,Common legacy interface; exact ICs verify,Cheap FireWire donor.
Tascam,US-122,US122|US-122L,studio audio interface,USB audio codec/converters; mic preamp op-amps,combined codec|ADC|standalone DAC|op-amp,probable,38,20,driver issue; noisy pot; USB socket fault,burnt board; water damage; no USB,easy,Low-value donor,Common interface; exact chip varies,Only as job-lot filler.
Tascam,US-144,US144|US-144MKII,studio audio interface,USB audio codec/converters; mic preamp op-amps,combined codec|ADC|standalone DAC|op-amp,probable,42,25,driver issue; noisy pot; USB socket fault,burnt board; water damage,easy,Low-value SMD donor,Common model; verify internals,Cheap only.
